index,z_index,z_title,z_main_author,z_abstract,z_venue,z_year
0,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,20460,A Cognitive Model for Visual Attention and Its Application,Tibor Bosse,"In this paper a cognitive model for visual attention is introduced. The cognitive model is part of the design of a software agent that supports a naval warfare officer in its task to compile a tactical picture of the situation in the field. An executable formal specification of the cognitive model is given and a case study is described in which the model is used to simulate a human subject's attention. The foundation of the model is based on formal specification of representation relations for attentional states, specifying their intended meaning. The model has been automatically verified against these relations.",Proceedings of the IEEE/WIC/ACM international conference on Intelligent Agent Technology,2006
35,405018,Model-checking agent refinement,Lacramioara Astefanoaei,We present a proof-technique for reducing the nondeterminism of abstract agent specifications in a BDI framework by means of refinement. We implement the operational semantics of agent specifications in rewrite systems such that we can automatically check if refinement between (fair) executions of agents holds.,Proceedings of the 7th international joint conference on Autonomous agents and multiagent systems - Volume 2,2008
35,628767,Tools for analyzing intelligent agent systems,Tibor Bosse,"When developing sophisticated multi-agent systems whose behaviors include collaboration, negotiation, and conflict resolution, analyzing and (empirically) verifying agent system behavior is a challenging task. To aid the developer in such tasks, this paper presents an approach that combines two software engineering tools - the Tracer Tool and the TTL Checker, which together record agent activities as execution traces and verify that the traces satisfy specified properties. The objective of the combined tool is to aid the user in redesigning, debugging, and maintaining the agent system. The Tracer Tool ensures that the user's comprehension of the system behavior is accurate with respect to the execution traces and provides explanations of anomalous behavior, which can be detected as a failed behavioral property by the TTL Checker. The integrated approach has been applied to an agent-based system designed to coordinate unmanned aerial vehicles.",Web Intelligence and Agent Systems,2008
